level_0,index,News,clean_news
142992,143119, 'Human skull found near house in Vizag creates furore,'human skull found near house vizag creates furore
192109,192274, '#TheatreLove: OTT will never be a threat to theatres,'#theatrelove: ott will never threat theatres
40444,40511, 'Hyderabad: Haneef chacha’s auto doubles up as free ambulance,'hyderabad: haneef chacha’s auto doubles free ambulance
115071,115187, 'Kochi: Facing supply squeeze,'kochi: facing supply squeeze
83454,83550, 'Beed district collector’s order results in chaos,'beed district collector’s order results chaos
80700,80795, 'Aniruddha Jatkar is busy with the Bharathi Vishnuvardhan documentary,'aniruddha jatkar busy with the bharathi vishnuvardhan documentary
210310,210489, 'Rs 950 RT-PCR cap: Hospital body to write to govt for help,'rs 950 rt-pcr cap: hospital body write govt for help
154990,155126, '47 test +ve,'47 test +ve
217651,217836, 'Govt ropes in Nabard &amp; Hudco to revive rural housing scheme that didn’t take off,'govt ropes nabard hudco revive rural housing scheme that didn’t take off
9674,9699, crack five break-in cases,crack five break-in cases
115083,115199,000 for violation,000 for violation
115539,115655, 'All Shiva temples in Patna closed till August 4,'all shiva temples patna closed till august
160498,160638," ""48 traders' bodies refuse shutdown""","""48 traders' bodies refuse shutdown"""
141830,141957, city has highest Covid cases among health workers,city has highest covid cases among health workers
83970,84066,414,414
176036,176187, 'Health dept moots education prog to arrest Covid spread,'health dept moots education prog arrest covid spread
89695,89797, 'Yogi Adityanath performs Rudrabhishek,'yogi adityanath performs rudrabhishek
9170,9195, 'Drones to survey gaothan areas for cluster devpt,'drones survey gaothan areas for cluster devpt
69637,69725, KSEB faces a problem of plenty!,kseb faces problem plenty!
19545,19583, 'Lucknow woman under coronavirus scanner,'lucknow woman under coronavirus scanner
169167,169315, 'Flying colours: Good rains bring butterfly boom to Jaisalmer,'flying colours: good rains bring butterfly boom jaisalmer
165680,165823, 'Yavatmal pesticide poisoning victims sue Syngenta in Swiss court,'yavatmal pesticide poisoning victims sue syngenta swiss court
62806,62893, patient goes berserk,patient goes berserk
84270,84366, 'FOB at Nashik rly station dismantled,'fob nashik rly station dismantled
147922,148053, water released to Kandaleru,water released kandaleru
70123,70212, 'Flyers rue airlines’ refusal to refund booking amounts,'flyers rue airlines’ refusal refund booking amounts
42901,42969, 'Tamil Nadu: Two women killed as mini-truck overturns,'tamil nadu: two women killed mini-truck overturns
134390,134512, say formalization necessary,say formalization necessary
205283,205457, 'Drive against overloaded cane carrying vehicles,'drive against overloaded cane carrying vehicles
12693,12723, says Jaganmohan Reddy,says jaganmohan reddy
217565,217750, 'Celebrations mark 50th year of 1971 Indo-Pak war at Longewala,'celebrations mark 50th year 1971 indo-pak war longewala
80192,80287, 'TNAU invites applications,'tnau invites applications
189297,189460,000 requests for seaplane ride already,000 requests for seaplane ride already
101205,101312, 'Aurangabad: 14 Harsul prison staffers test positive for Covid-19,'aurangabad: harsul prison staffers test positive for covid-19
83762,83858, Morlem spend 3 days in the open,morlem spend days the open
208820,208997, 'Cops to undergo Covid-19 testing before joining Magh Mela duties,'cops undergo covid-19 testing before joining magh mela duties
222821,223011, 25 December 2020: Check astrological prediction for Aries,december 2020: check astrological prediction for aries
77241,77335, gives tips on hygiene,gives tips hygiene
117937,118053, 'Covid numbers stay high with 861 fresh cases,'covid numbers stay high with 861 fresh cases
187220,187383, 'ACB raids M’patnam town planning office,'acb raids m’patnam town planning office
110301,110414, '119 stranded in UK land in Kolkata; 260 return from Dubai,'119 stranded land kolkata; 260 return from dubai
121357,121475, 'Firms allow online internship for IIT-Kharagpur students,'firms allow online internship for iit-kharagpur students
7234,7256, 'TN police enhance cash reward for info on SSI’s killers,'tn police enhance cash reward for info ssi’s killers
206370,206545, bikers,bikers
178827,178980, 'Mumbai: NCB arrests Nigerian,'mumbai: ncb arrests nigerian
156776,156913, Goa cops find robbery motive in Swapnil Walke killing,goa cops find robbery motive swapnil walke killing
31821,31876, 'My first shot: I went blank the minute the camera rolled,'my first shot: went blank the minute the camera rolled
218202,218388, ask RPSC to issue fresh merit list,ask rpsc issue fresh merit list
39555,39621, 'Two more coronavirus cases suspected in Hyderabad,'two more coronavirus cases suspected hyderabad
167695,167841, 'Left flexes muscles,'left flexes muscles
184706,184867, 'Medicines seized from Roorkee unit fail lab tests,'medicines seized from roorkee unit fail lab tests
167252,167398, 'High-security plates: Web of requirements removed,'high-security plates: web requirements removed
171741,171889, city had 1,city had
36432,36493, 'Ministers told to be at sectt on Wednesdays,'ministers told sectt wednesdays
105727,105838, 'Covid-19: More deaths,'covid-19: more deaths
203176,203348, 'Jheel clean-up brings in thrice as many birds,'jheel clean-up brings thrice many birds
28732,28783, 'West Bengal BJP president Dilip Ghosh links CAA protests to ‘biryani &amp; funds’,'west bengal bjp president dilip ghosh links caa protests ‘biryani funds’
170689,170837, 'Roberrt,'roberrt
193807,193973, 'Uttarakhand records 498 Covid-19 cases,'uttarakhand records 498 covid-19 cases
163146,163288, 'Woman ends life in Bhosari,'woman ends life bhosari
44806,44874, 'Reconsider hike proposal,'reconsider hike proposal
126873,126992, 'Diabetic woman,'diabetic woman
165795,165938, 'Cops pose as tourists,'cops pose tourists
75936,76029, 'Sirohi police seize tobacco consignment worth Rs 1 crore,'sirohi police seize tobacco consignment worth crore
72722,72812, 'Man tests positive,'man tests positive
87930,88031, fastest in Vidarbha,fastest vidarbha
8404,8428, 'Gahiramatha readies for second dolphin census,'gahiramatha readies for second dolphin census
127559,127678, 'Madurai’s arts and science colleges receive record number of applications,'madurai’s arts and science colleges receive record number applications
133773,133895, gets him arrested,gets him arrested
129645,129765, contact tracing to curb Covid’,contact tracing curb covid’
42275,42343, 1 unauthorized godown gutted separate fires,unauthorized godown gutted separate fires
78846,78941, 'Himachal Pradesh: SDM accuses municipal corporation of not cooperating in cremation of coronavirus positive victim,'himachal pradesh: sdm accuses municipal corporation not cooperating cremation coronavirus positive victim
114972,115088, 'SEC withdraws e-voting option in Gujarat civic body polls,'sec withdraws e-voting option gujarat civic body polls
226459,226651, JM Road &amp; MG Road for 11 hours from 6pm today,road road for hours from 6pm today
67622,67710, 'Gujarat: Man booked for fake post on CM Vijay Rupani,'gujarat: man booked for fake post vijay rupani
130967,131087, plants 2,plants
172841,172990, 'Gang rivalry claims one more life,'gang rivalry claims one more life
61189,61273, elderly requests cops,elderly requests cops
20211,20249, 'Budget claim to double famers’ income an eyewash,'budget claim double famers’ income eyewash
180959,181112, 'Jagarnath Mahto likely be shifted to Chennai for lung transplant,'jagarnath mahto likely shifted chennai for lung transplant
104073,104183, 'Punjab: Two promising school-going wrestlers transplant paddy,'punjab: two promising school-going wrestlers transplant paddy
83591,83687, 'Tamil Nadu: TNEB puts brakes on reverse migration,'tamil nadu: tneb puts brakes reverse migration
83800,83896, 'We have been ‘abandoned’,'we have been ‘abandoned’
163759,163901, 'Future grim for school employees,'future grim for school employees
50334,50409, firms told,firms told
112321,112437," ""In Unlock1.0","""in unlock1.0"
124642,124761, 'DK records single day spike of 311 +ve cases,'dk records single day spike 311 +ve cases
31121,31173, says high court of Bombay at Goa,says high court bombay goa
194674,194840, 'Four arrested with firearms,'four arrested with firearms
96561,96667, 'Quarrel over quarantine as first direct Vande Bharat flight arrives in Goa,'quarrel over quarantine first direct vande bharat flight arrives goa
561,565, drown,drown
133545,133667, Jama Masjid had room to spare at an ‘unlikely’ Eid,jama masjid had room spare ‘unlikely’ eid
152808,152944, 'Back in business,'back business
179289,179442, 'Bihar’s Covid-19 tally crosses 2L-mark,'bihar’s covid-19 tally crosses 2l-mark
177554,177707, 21 from Bagh Sewania alone,from bagh sewania alone
9379,9404, 'Mercury may fall after January 16 in Patna,'mercury may fall after january patna
102470,102580, '4 migrants among 5 new coronavirus cases,migrants among new coronavirus cases
224109,224300, 'HE Roy Fernandes believes Goodwill is the most valuable asset for humanity,'he roy fernandes believes goodwill the most valuable asset for humanity
48781,48854, 'IMFL worth Rs 10.39 lakh seized; two held in Rajkot,'imfl worth 10.39 lakh seized; two held rajkot
158466,158604, 'Mumbai’s health buffs keep their fitness on track at home gyms,'mumbai’s health buffs keep their fitness track home gyms
54053,54131, 'App to keep track of quarantined persons in Gujarat,'app keep track quarantined persons gujarat
119229,119347, 'Nurse gets abused by man for referring Covid test on wife,'nurse gets abused man for referring covid test wife
105004,105114, travel history,travel history
37925,37986, 'Soft raw material prices spell hope,'soft raw material prices spell hope
30545,30596, 'Slow Net prevents live monitoring of UP Board exams in Meerut,'slow net prevents live monitoring board exams meerut
83816,83912," robbing man in Nashik's Panchavati""","robbing man nashik's panchavati"""
161374,161515, 'Kumbh 2021: Kangra Ghat work to be completed by Nov 15,'kumbh 2021: kangra ghat work completed nov
82696,82791, 'Goa: Photo of crowded KTC bus goes viral,'goa: photo crowded ktc bus goes viral
199991,200162, says won’t defend him,says won’t defend him
123237,123355, says Union health minister Harsh Vardhan,says union health minister harsh vardhan
